"Scaffolds" "Genes" "n=1_copy" "n=2_copies" "n=3_copies" "n=4_copies" "n=5_copies" "n>5_copies" "n=0_copy"
"6666666.673108.txt" 1 2545 0.774459724950884 0.138703339882122 0.0416502946954813 0.0153241650294695 0.00550098231827112 0.0243614931237721 3.02750491159136
"6666666.673110.txt" 1 2535 0.82879684418146 0.110059171597633 0.0272189349112426 0.0106508875739645 0.00670611439842209 0.0165680473372781 3.04339250493097
"6666666.673028.txt" 1 2694 0.812546399406088 0.103934669636229 0.03637713437268 0.0170749814402376 0.0066815144766147 0.0233853006681514 2.80475129918337
"6666666.673088.txt" 1 2806 0.811475409836066 0.109408410548824 0.0302922309337135 0.0181753385602281 0.00819672131147541 0.0224518888096935 2.65288667141839
"6666666.688660.txt" 1 2823 0.834573149132129 0.103081827842721 0.0283386468296139 0.0116896918172157 0.00708466170740347 0.0152320226709175 2.63088912504428
"6666666.688653.txt" 1 2804 0.824893009985735 0.111269614835949 0.0281740370898716 0.00927246790299572 0.00962910128388017 0.0167617689015692 2.65549215406562
"6666666.688657.txt" 1 2799 0.832082886745266 0.10896748838871 0.0246516613076099 0.0103608431582708 0.007502679528403 0.0164344408717399 2.66202215076813
"6666666.879419.txt" 1 2810 0.81067615658363 0.118505338078292 0.0316725978647687 0.0138790035587189 0.00711743772241993 0.0181494661921708 2.64768683274021
"6666666.688661.txt" 1 2789 0.843671566869846 0.102545715310147 0.0222301900322696 0.0107565435640014 0.00645392613840086 0.0143420580853352 2.67515238436716
"6666666.673196.txt" 1 2634 0.836370539104024 0.105163249810175 0.0273348519362187 0.00949126803340926 0.0064540622627183 0.0151860288534548 2.8914198936978
"6666666.673195.txt" 1 2632 0.834726443768997 0.107142857142857 0.0269756838905775 0.00949848024316109 0.00645896656534954 0.0151975683890578 2.89437689969605
"6666666.688673.txt" 1 2440 0.865983606557377 0.0852459016393443 0.0233606557377049 0.00860655737704918 0.00450819672131148 0.0122950819672131 3.20081967213115
"6666666.673114.txt" 1 2742 0.811816192560175 0.113056163384391 0.0328227571115974 0.0113056163384391 0.00583515681983953 0.025164113785558 2.7381473377097
"6666666.673112.txt" 1 2676 0.821748878923767 0.10762331838565 0.0302690582959641 0.00971599402092676 0.00635276532137519 0.0242899850523169 2.83034379671151
"6666666.688677.txt" 1 2121 0.865157944365865 0.0862800565770863 0.0216878830740217 0.00801508722300802 0.00518623290900519 0.0136727958510137 3.83262611975483
"6666666.688674.txt" 1 2261 0.844758956214065 0.0906678460858027 0.0296329057938965 0.00928792569659443 0.00973020787262273 0.015922158337019 3.53339230429014
"6666666.974107.txt" 1 2741 0.825246260488873 0.113827070412258 0.0277271068952937 0.00948558920102152 0.00802626778547975 0.0156877052170741 2.73951112732579
"6666666.974109.txt" 1 2779 0.831234256926952 0.111191075926592 0.0241093918675783 0.00755667506297229 0.00899604174163368 0.0169125584742713 2.68837711406981
"6666666.974110.txt" 1 2776 0.828890489913545 0.109870317002882 0.0277377521613833 0.0100864553314121 0.00720461095100865 0.0162103746397695 2.69236311239193
"6666666.673120.txt" 2 2759 0.808263863718739 0.101486045668721 0.0384197172888728 0.0163102573396158 0.0115984052192823 0.0239217107647698 2.71511417180138
