"Contig" "flag" "cov" "len" "GC"
"1" "k141_3329" "0" "34.2786" "500" "0.684"
"2" "k141_6683" "0" "192.7088" "2349" "0.672200936568753"
"3" "k141_8905" "1" "115.2059" "1928" "0.713692946058091"
"4" "k141_7803" "0" "229.1031" "1014" "0.758382642998028"
"5" "k141_2277" "0" "229.135" "1534" "0.699478487614081"
"6" "k141_7814" "0" "175.9818" "581" "0.683304647160069"
"7" "k141_1120" "3" "550" "23811" "0.62937297887531"
"8" "k141_8917" "0" "289.3588" "10057" "0.715422094063836"
"9" "k141_5713" "0" "183.0944" "2831" "0.70293182620982"
"10" "k141_6722" "0" "318.274" "19415" "0.660417203193407"
"11" "k141_4461" "0" "280.6985" "33577" "0.702266432379307"
"12" "k141_1124" "3" "908" "32764" "0.614027591258699"
"13" "k141_5757" "0" "215" "200" "0.665"
"14" "k141_5762" "0" "638" "1190" "0.66890756302521"
"15" "k141_1130" "0" "314.3625" "4442" "0.678072940117064"
"16" "k141_1134" "0" "255.3054" "6788" "0.675604007071302"
"17" "k141_7828" "1" "315.2144" "39348" "0.652460099623869"
"18" "k141_38" "0" "287.8776" "51708" "0.691614450375184"
"19" "k141_8940" "0" "265.1054" "33321" "0.688754839290537"
"20" "k141_2300" "0" "303.7363" "44356" "0.669853007484895"
"21" "k141_8986" "1" "288" "318" "0.679245283018868"
"22" "k141_73" "0" "234.6374" "9450" "0.674497354497354"
"23" "k141_6725" "0" "292.695" "42269" "0.693557926612884"
"24" "k141_7863" "1" "280.7213" "22241" "0.699428982509779"
"25" "k141_7895" "0" "206" "581" "0.688468158347676"
"26" "k141_1149" "0" "291.7675" "43023" "0.691420867907863"
"27" "k141_5781" "0" "290.3951" "47874" "0.665831140076033"
"28" "k141_1160" "0" "284.108" "18945" "0.68334652942729"
"29" "k141_9149" "0" "299.8098" "7043" "0.62927729660656"
"30" "k141_9151" "0" "273.2996" "675" "0.672592592592593"
"31" "k141_10030" "0" "297.9362" "98030" "0.686626542895032"
"32" "k141_255" "1" "29.1161" "494" "0.698380566801619"
"33" "k141_1167" "0" "276.5527" "12481" "0.685521993430014"
"34" "k141_298" "1" "260.2376" "4303" "0.598187311178248"
"35" "k141_10079" "0" "289.2709" "7525" "0.668970099667774"
"36" "k141_10085" "0" "142.475" "880" "0.763636363636364"
"37" "k141_6846" "0" "301" "28900" "0.638719723183391"
"38" "k141_9319" "0" "158.3822" "714" "0.677871148459384"
"39" "k141_10106" "0" "341.0857" "10415" "0.617282765242439"
"40" "k141_8000" "0" "265.8341" "72037" "0.710107305967767"
"41" "k141_6917" "0" "282" "33694" "0.706090105063216"
"42" "k141_6920" "0" "197.1928" "1521" "0.59500328731098"
"43" "k141_8022" "1" "43.4366" "425" "0.505882352941176"
"44" "k141_376" "0" "285.7385" "48093" "0.71130933815732"
"45" "k141_391" "0" "298" "1234" "0.705834683954619"
"46" "k141_5798" "0" "290.8819" "100815" "0.692069632495164"
"47" "k141_4513" "0" "295.9239" "155160" "0.68786414024233"
"48" "k141_7003" "1" "322.1309" "9839" "0.607175525968086"
"49" "k141_1169" "0" "293.03" "145814" "0.699877926673708"
"50" "k141_4554" "0" "297.7752" "29207" "0.70722771938234"
"51" "k141_7087" "0" "312.923" "11147" "0.615681349241949"
"52" "k141_474" "0" "302.6206" "35166" "0.699681510549963"
"53" "k141_1304" "1" "269.4463" "4154" "0.604236880115551"
"54" "k141_4630" "0" "275.4914" "1134" "0.703703703703704"
"55" "k141_1306" "0" "248.0849" "7562" "0.761042052367099"
"56" "k141_4644" "0" "416.6435" "1308" "0.707951070336391"
"57" "k141_7175" "1" "279" "326" "0.720858895705521"
"58" "k141_7202" "1" "39" "336" "0.717261904761905"
"59" "k141_3394" "0" "288.9377" "254935" "0.697056112342362"
