"Contig" "flag" "cov" "len" "GC"
"1" "k141_17255" "0" "128.3619" "456" "0.743421052631579"
"2" "k141_7" "0" "162" "391" "0.664961636828645"
"3" "k141_9861" "0" "190.9014" "2271" "0.645090268604139"
"4" "k141_4947" "0" "175.1078" "7024" "0.671554669703872"
"5" "k141_14" "0" "189.5724" "9864" "0.644464720194647"
"6" "k141_7435" "0" "166.5157" "4163" "0.688445832332453"
"7" "k141_24" "1" "89" "301" "0.697674418604651"
"8" "k141_22286" "1" "180" "319" "0.736677115987461"
"9" "k141_22287" "0" "115.4746" "1814" "0.663175303197354"
"10" "k141_19844" "0" "192.002" "630" "0.523809523809524"
"11" "k141_76" "0" "282" "819" "0.682539682539683"
"12" "k141_19866" "0" "163" "384" "0.658854166666667"
"13" "k141_82" "0" "307" "3680" "0.586413043478261"
"14" "k141_4992" "0" "191.1589" "12176" "0.69965505913272"
"15" "k141_14823" "0" "206.3529" "26475" "0.621680830972616"
"16" "k141_22330" "0" "176.093" "4225" "0.628402366863905"
"17" "k141_10003" "0" "474" "4139" "0.637110413143271"
"18" "k141_22331" "1" "190.6311" "2093" "0.679407548972766"
"19" "k141_17388" "1" "168.8074" "24009" "0.709942105043942"
"20" "k141_14830" "0" "298.5737" "6613" "0.604869197036141"
"21" "k141_17400" "0" "572.3948" "3112" "0.613753213367609"
"22" "k141_17401" "0" "117" "361" "0.645429362880886"
"23" "k141_7575" "0" "191.2353" "617" "0.594813614262561"
"24" "k141_7577" "0" "86.3125" "877" "0.604332953249715"
"25" "k141_10050" "1" "118" "428" "0.628504672897196"
"26" "k141_2487" "0" "202" "44422" "0.66993831885102"
"27" "k141_17435" "1" "164.7398" "2924" "0.649794801641587"
"28" "k141_19965" "0" "166" "379" "0.722955145118733"
"29" "k141_19966" "0" "182" "374" "0.724598930481283"
"30" "k141_22413" "1" "178" "369" "0.609756097560976"
"31" "k141_7610" "0" "154.2238" "5275" "0.632227488151659"
"32" "k141_14939" "0" "39.338" "283" "0.68904593639576"
"33" "k141_17515" "1" "173" "353" "0.742209631728045"
"34" "k141_19995" "0" "169.0564" "6405" "0.659172521467603"
"35" "k141_17533" "0" "163.4739" "3015" "0.651741293532338"
"36" "k141_14968" "0" "145.744" "1012" "0.687747035573123"
"37" "k141_7621" "0" "188.3667" "13202" "0.697848810786245"
"38" "k141_260" "1" "16.4638" "279" "0.706093189964158"
"39" "k141_7628" "0" "322.1632" "1489" "0.652787105439892"
"40" "k141_2550" "0" "196.214" "12876" "0.646396396396396"
"41" "k141_2563" "0" "189.2013" "1209" "0.619520264681555"
"42" "k141_7648" "1" "55" "591" "0.720812182741117"
"43" "k141_2573" "0" "279.0174" "3656" "0.62171772428884"
"44" "k141_22598" "0" "203.0688" "795" "0.568553459119497"
"45" "k141_2619" "0" "218" "2862" "0.631376659678547"
"46" "k141_5037" "0" "185" "63829" "0.698741951150731"
"47" "k141_10075" "0" "181.7172" "58507" "0.695985095800502"
"48" "k141_17551" "0" "185.6383" "57933" "0.691661056737956"
"49" "k141_22752" "1" "10.0225" "987" "0.592705167173252"
"50" "k141_20040" "0" "179" "55639" "0.700497852225957"
"51" "k141_2696" "0" "187.6964" "13693" "0.635434163441174"
"52" "k141_5175" "0" "285.5195" "4391" "0.660214074242769"
"53" "k141_5182" "0" "171.146" "415" "0.706024096385542"
"54" "k141_5192" "0" "253" "423" "0.67612293144208"
"55" "k141_20102" "0" "130" "1136" "0.612676056338028"
