"Contig" "flag" "cov" "len" "GC"
"1" "k141_9502" "0" "176.466" "2613" "0.638729429774206"
"2" "k141_2388" "1" "17.1385" "437" "0.723112128146453"
"3" "k141_4" "0" "443.605" "3427" "0.624452874234024"
"4" "k141_17" "0" "318.9182" "2783" "0.637082285303629"
"5" "k141_19045" "1" "21.8043" "647" "0.71097372488408"
"6" "k141_16626" "0" "256" "15455" "0.712196700097056"
"7" "k141_19052" "0" "167.5991" "2770" "0.655234657039711"
"8" "k141_4822" "1" "265" "340" "0.711764705882353"
"9" "k141_16660" "0" "501.2314" "988" "0.65587044534413"
"10" "k141_4825" "0" "245.8666" "3095" "0.694991922455574"
"11" "k141_41" "0" "276.5337" "7675" "0.641954397394137"
"12" "k141_4826" "0" "452.1392" "4776" "0.642587939698492"
"13" "k141_4828" "0" "121.1887" "300" "0.68"
"14" "k141_21479" "0" "283.4984" "4302" "0.609019060901906"
"15" "k141_4834" "0" "123.8787" "512" "0.55078125"
"16" "k141_4835" "0" "124.5493" "496" "0.717741935483871"
"17" "k141_2392" "0" "257.3398" "25833" "0.710486586923702"
"18" "k141_16721" "0" "169.0507" "1679" "0.714115544967242"
"19" "k141_19075" "1" "251.4341" "13176" "0.678809957498482"
"20" "k141_11960" "0" "256.7321" "21166" "0.703344987243693"
"21" "k141_16767" "0" "190.9209" "3581" "0.700642278693102"
"22" "k141_16785" "1" "103.9455" "471" "0.641188959660297"
"23" "k141_2406" "0" "260.5658" "13314" "0.715262130088628"
"24" "k141_11998" "0" "113.0345" "344" "0.659883720930233"
"25" "k141_14368" "0" "254.7813" "25695" "0.698462735940845"
"26" "k141_65" "0" "243.7831" "24788" "0.715063740519606"
"27" "k141_2448" "0" "114.3643" "1110" "0.67027027027027"
"28" "k141_21509" "0" "244.634" "26810" "0.711935844834017"
"29" "k141_21518" "0" "530.6825" "2062" "0.684287099903007"
"30" "k141_21520" "0" "82.0335" "618" "0.682847896440129"
"31" "k141_121" "0" "225.5787" "4266" "0.695030473511486"
