"Contig" "flag" "cov" "len" "GC"
"1" "k141_2744" "0" "160.2213" "385" "0.537662337662338"
"2" "k141_8232" "1" "312.1873" "1876" "0.611940298507463"
"3" "k141_6878" "0" "781" "1456" "0.578296703296703"
"4" "k141_10997" "0" "195" "533" "0.669793621013133"
"5" "k141_8249" "0" "206.0638" "2493" "0.59486562374649"
"6" "k141_11034" "1" "180" "364" "0.747252747252747"
"7" "k141_4206" "1" "131.3031" "748" "0.651069518716578"
"8" "k141_2812" "1" "178.656" "11290" "0.688573959255979"
"9" "k141_11118" "0" "199" "1850" "0.705405405405405"
"10" "k141_9745" "0" "223" "2182" "0.626031164069661"
"11" "k141_2825" "0" "200.9418" "12538" "0.701706811293667"
"12" "k141_4319" "0" "189" "693" "0.712842712842713"
"13" "k141_8252" "0" "190.7474" "33240" "0.708333333333333"
"14" "k141_2841" "0" "197.1423" "9037" "0.688502821732876"
"15" "k141_9809" "0" "186.7628" "9059" "0.696876034882437"
"16" "k141_9818" "0" "212.059" "1818" "0.625962596259626"
"17" "k141_8356" "1" "114.5067" "664" "0.628012048192771"
"18" "k141_8368" "0" "195.3475" "1833" "0.677032187670486"
"19" "k141_2888" "0" "168.9324" "7602" "0.694554064719811"
"20" "k141_12414" "0" "196.9255" "58007" "0.692950850759391"
"21" "k141_2925" "0" "192.4775" "1833" "0.678123295144572"
"22" "k141_5488" "0" "194" "79689" "0.691437965089285"
"23" "k141_4528" "1" "195" "397" "0.758186397984887"
"24" "k141_2935" "0" "177.0708" "847" "0.66469893742621"
"25" "k141_6985" "0" "194.6199" "69531" "0.703470394500295"
"26" "k141_11464" "1" "192" "360" "0.683333333333333"
"27" "k141_1407" "0" "199.9524" "92183" "0.692416172179252"
"28" "k141_4625" "0" "46.7134" "469" "0.714285714285714"
"29" "k141_7048" "0" "329" "652" "0.70398773006135"
"30" "k141_396" "0" "215.8466" "63549" "0.680577192402713"
"31" "k141_7052" "0" "44.1093" "324" "0.688271604938272"
"32" "k141_7058" "0" "171.6614" "832" "0.760817307692308"
"33" "k141_7068" "0" "621.0339" "731" "0.619699042407661"
"34" "k141_7069" "0" "57.1013" "832" "0.769230769230769"
"35" "k141_5491" "0" "214.3209" "35878" "0.646524332460003"
"36" "k141_11573" "0" "233" "590" "0.661016949152542"
"37" "k141_4740" "1" "26.4756" "490" "0.76734693877551"
"38" "k141_5569" "0" "117.375" "325" "0.713846153846154"
"39" "k141_4793" "0" "83.282" "673" "0.62555720653789"
"40" "k141_8408" "0" "200.8423" "80886" "0.667161189822713"
"41" "k141_11645" "0" "299.7478" "26220" "0.672921434019832"
