"Contig" "flag" "cov" "len" "GC"
"1" "k141_8388" "1" "121" "301" "0.727574750830565"
"2" "k141_8392" "1" "140" "316" "0.75"
"3" "k141_11188" "0" "134.3333" "570" "0.7"
"4" "k141_5610" "0" "347.1855" "1737" "0.630972941853771"
"5" "k141_8434" "0" "95.1011" "230" "0.617391304347826"
"6" "k141_7030" "0" "862.9442" "3366" "0.583184789067142"
"7" "k141_12626" "0" "206.36" "466" "0.600858369098712"
"8" "k141_67" "1" "168" "319" "0.721003134796238"
"9" "k141_7039" "0" "204.6062" "14896" "0.687768528464017"
"10" "k141_5645" "0" "203.094" "10224" "0.712636932707355"
"11" "k141_130" "0" "206" "535" "0.71214953271028"
"12" "k141_7076" "0" "143.7913" "371" "0.679245283018868"
"13" "k141_12685" "0" "255.57" "7136" "0.563761210762332"
"14" "k141_132" "0" "190.2006" "5370" "0.688268156424581"
"15" "k141_12689" "1" "221.1468" "3580" "0.604748603351955"
"16" "k141_7126" "0" "543" "2281" "0.629110039456379"
"17" "k141_9817" "0" "200.8673" "33288" "0.693222782984859"
"18" "k141_4237" "0" "196.9019" "41527" "0.706263394899704"
"19" "k141_1420" "0" "205.0818" "54478" "0.682348838063071"
"20" "k141_1431" "1" "15.4477" "418" "0.617224880382775"
"21" "k141_5653" "0" "229.8721" "39530" "0.626486213002783"
"22" "k141_5657" "0" "204.0446" "2496" "0.594951923076923"
"23" "k141_9824" "3" "342" "27969" "0.648360685044156"
"24" "k141_5673" "0" "393.9218" "5168" "0.604295665634675"
"25" "k141_9859" "0" "205" "1345" "0.663197026022305"
"26" "k141_9876" "0" "160.6265" "1204" "0.636212624584718"
"27" "k141_2805" "1" "213" "83764" "0.693328876366936"
"28" "k141_11235" "0" "205.5096" "72360" "0.697650635710337"
"29" "k141_12691" "0" "206.0555" "62272" "0.699174588900308"
"30" "k141_1465" "1" "375.6755" "31757" "0.667128507100797"
"31" "k141_8524" "0" "201" "106003" "0.696857636104639"
"32" "k141_2812" "1" "212.4886" "18382" "0.673484930910674"
