"Contig" "flag" "cov" "len" "GC"
"1" "k141_4775" "0" "117.2928" "404" "0.707920792079208"
"2" "k141_1602" "1" "16.8043" "790" "0.70253164556962"
"3" "k141_11159" "1" "212" "324" "0.601851851851852"
"4" "k141_9581" "1" "182" "7532" "0.658523632501328"
"5" "k141_1658" "0" "139.5762" "745" "0.702013422818792"
"6" "k141_12791" "0" "157" "2366" "0.599746407438715"
"7" "k141_14424" "0" "498" "1058" "0.465973534971645"
"8" "k141_9624" "0" "196.8624" "330" "0.751515151515151"
"9" "k141_14425" "0" "210.3368" "7107" "0.632052905586042"
"10" "k141_3186" "0" "217" "22297" "0.662779746154191"
"11" "k141_3189" "0" "39.1608" "284" "0.683098591549296"
"12" "k141_14433" "0" "183.7182" "322" "0.540372670807453"
"13" "k141_144" "1" "14.032" "422" "0.725118483412322"
"14" "k141_3201" "1" "211.655" "16218" "0.632938710075225"
"15" "k141_209" "1" "196.9985" "6042" "0.685865607414763"
"16" "k141_210" "1" "82" "427" "0.711943793911007"
"17" "k141_3239" "0" "45.4706" "362" "0.643646408839779"
"18" "k141_3283" "0" "133" "1792" "0.690848214285714"
"19" "k141_3293" "0" "370" "668" "0.645209580838323"
"20" "k141_3301" "0" "180.8046" "668" "0.642215568862275"
"21" "k141_9640" "0" "202.9789" "45558" "0.694784670090873"
"22" "k141_11184" "0" "222.9273" "67321" "0.646365918509826"
"23" "k141_9677" "1" "67" "334" "0.658682634730539"
"24" "k141_11188" "1" "207" "303" "0.67986798679868"
"25" "k141_9703" "0" "257.4803" "2073" "0.635311143270622"
"26" "k141_12813" "1" "214.8482" "71260" "0.668664047151277"
"27" "k141_6376" "0" "202.8128" "90792" "0.700645431315534"
"28" "k141_7979" "0" "216.9608" "121392" "0.684484974298142"
"29" "k141_14453" "0" "218.9487" "93601" "0.694981891219111"
"30" "k141_1679" "0" "206" "80745" "0.703857824013871"
"31" "k141_12848" "0" "50" "286" "0.678321678321678"
"32" "k141_12885" "0" "226.8337" "2570" "0.467704280155642"
"33" "k141_6416" "1" "193.0522" "11575" "0.696846652267819"
"34" "k141_6427" "1" "194" "346" "0.673410404624277"
"35" "k141_12887" "0" "225.2864" "7078" "0.48346990675332"
"36" "k141_6428" "0" "212.5212" "4285" "0.640840140023337"
"37" "k141_6430" "1" "112" "301" "0.667774086378738"
"38" "k141_14466" "0" "188.2349" "28625" "0.685589519650655"
"39" "k141_14470" "0" "278" "1449" "0.701863354037267"
"40" "k141_8008" "0" "318.8924" "29089" "0.643095328130909"
"41" "k141_14476" "1" "20" "301" "0.704318936877076"
"42" "k141_4837" "1" "210" "125197" "0.687612322978985"
"43" "k141_11219" "1" "226" "54568" "0.674901040903093"
"44" "k141_14576" "0" "231.3297" "687" "0.656477438136827"
